0.00000 	0.00000 	0.00367 
0.31563 	0.31563 	0.04895 
0.00000 	0.70207 	0.04895 
0.70207 	0.00000 	0.04895 
0.29793 	0.00000 	0.10105 
0.00000 	0.29793 	0.10105 
0.68437 	0.68437 	0.10105 
0.00000 	0.00000 	0.14633 
0.50000 	0.00000 	0.25367 
0.79793 	0.00000 	0.29895 
0.50000 	0.29793 	0.29895 
0.18437 	0.68437 	0.29895 
0.81563 	0.31563 	0.35105 
0.50000 	0.70207 	0.35105 
0.20207 	0.00000 	0.35105 
0.50000 	0.00000 	0.39633 
0.00000 	0.50000 	0.50367 
0.31563 	0.81563 	0.54895 
0.00000 	0.20207 	0.54895 
0.70207 	0.50000 	0.54895 
0.29793 	0.50000 	0.60105 
0.00000 	0.79793 	0.60105 
0.68437 	0.18437 	0.60105 
0.00000 	0.50000 	0.64633 
0.50000 	0.50000 	0.75367 
0.79793 	0.50000 	0.79895 
0.50000 	0.79793 	0.79895 
0.18437 	0.18437 	0.79895 
0.81563 	0.81563 	0.85105 
0.50000 	0.20207 	0.85105 
0.20207 	0.50000 	0.85105 
0.50000 	0.50000 	0.89633 
