0.000000 0.842184 0.050000 
0.148965 0.000000 0.050000 
0.842184 0.157816 0.050000 
0.157816 0.842184 0.100000 
0.851035 0.000000 0.100000 
0.000000 0.157816 0.100000 
0.157816 0.342184 0.300000 
0.851035 0.500000 0.300000 
0.000000 0.657816 0.300000 
0.000000 0.342184 0.350000 
0.148965 0.500000 0.350000 
0.842184 0.657816 0.350000 
0.500000 0.842184 0.550000 
0.648965 0.000000 0.550000 
0.342184 0.157816 0.550000 
0.657816 0.842184 0.600000 
0.351035 0.000000 0.600000 
0.500000 0.157816 0.600000 
0.657816 0.342184 0.800000 
0.351035 0.500000 0.800000 
0.500000 0.657816 0.800000 
0.500000 0.342184 0.850000 
0.648965 0.500000 0.850000 
0.342184 0.657816 0.850000 
